Method of Travel to Work,Greater Melbourne,Rest of Vic.,No Usual Address (Vic.),Migratory - Offshore - Shipping (Vic.),Greater Brisbane,Rest of Qld,No Usual Address (Qld),Migratory - Offshore - Shipping (Qld),Greater Adelaide,Rest of SA,No Usual Address (SA),Migratory - Offshore - Shipping (SA),Greater Perth,Rest of WA,No Usual Address (WA),Migratory - Offshore - Shipping (WA),Greater Hobart,Rest of Tas.,No Usual Address (Tas.),Migratory - Offshore - Shipping (Tas.),Greater Darwin,Rest of NT,No Usual Address (NT),Migratory - Offshore - Shipping (NT),Australian Capital Territory,No Usual Address (ACT),Migratory - Offshore - Shipping (ACT),Other Territories,No Usual Address (OT),Migratory - Offshore - Shipping (OT),Rest of NSW,No Usual Address (NSW),Migratory - Offshore - Shipping (NSW),Greater Sydney,Total
"Train, bus, truck",5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,24
"Train, bus, motorbike/scooter",12,0,0,0,10,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,52,101
"Train, bus, bicycle",123,9,0,0,81,4,0,0,16,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,182,597
"Train, bus, other",82,9,0,0,72,27,0,0,7,0,0,0,82,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,0,0,259,562
"Train, ferry, tram",6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,15
"Train, ferry, taxi",5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,35
"Train, ferry, car as driver",3,0,0,0,37,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,92,142
"Train, ferry, car as passenger",0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,76
"Train, ferry, truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
"Train, ferry, motorbike/scooter",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9
"Train, ferry, bicycle",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,30,38
"Train, ferry, other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
