Method of Travel to Work,Sydney,Hunter NSW,Illawarra NSW,Richmond-Tweed NSW,Mid-North Coast NSW,Northern NSW,North Western NSW,Central West NSW,South Eastern NSW,Murrumbidgee NSW,Murray NSW,Far West NSW,Off-Shore Areas & Migratory NSW,No Usual Address NSW,Melbourne,Barwon VIC,Western District VIC,Central Highlands VIC,Wimmera VIC,Mallee VIC,Loddon VIC,Goulburn VIC,Ovens-Murray VIC,East Gippsland VIC,Gippsland VIC,Off-Shore Areas & Migratory VIC,No Usual Address VIC,Brisbane,Gold Coast QLD,Sunshine Coast QLD,West Moreton QLD,Wide Bay-Burnett QLD,Darling Downs QLD,South West QLD,Fitzroy QLD,Central West QLD,Mackay QLD,Northern QLD,Far North QLD,North West QLD,Off-Shore Areas & Migratory QLD,No Usual Address QLD,Adelaide,Outer Adelaide,Yorke and Lower North SA,Murray Lands SA,South East SA,Eyre SA,Northern SA,Off-Shore Areas & Migratory SA,No Usual Address SA,Perth,South West WA,Lower Great Southern WA,Upper Great Southern WA,Midlands WA,South Eastern WA,Central WA,Pilbara WA,Kimberley WA,Off-Shore Areas & Migratory WA,No Usual Address WA,Greater Hobart,Southern TAS,Northern TAS,Mersey-Lyell TAS,Off-Shore Areas & Migratory TAS,No Usual Address TAS,Darwin,Northern Territory - Bal,Off-Shore Areas & Migratory NT,No Usual Address NT,Canberra,Australian Capital Territory - Bal,No Usual Address ACT,Other Territories AUST,Off-Shore Areas & Migratory AUST,No Usual Address AUST,Total
"Tram, bicycle",9,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192
"Tram, other",11,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
"Taxi, car as driver",259,20,16,11,0,3,3,3,4,3,3,0,0,0,132,6,3,10,3,0,4,9,0,3,6,0,0,94,16,5,0,8,4,0,3,0,0,6,11,4,0,0,38,4,0,3,4,0,8,0,0,57,5,0,0,0,0,0,0,0,0,0,13,0,4,0,0,0,3,3,0,0,14,0,0,0,0,0,808
"Taxi, car as passenger",199,23,10,6,6,9,10,19,15,7,11,0,0,0,128,14,5,4,0,5,6,8,4,0,3,0,0,106,26,7,0,10,12,0,18,0,18,16,27,12,0,0,59,3,0,3,4,0,9,0,0,53,15,3,0,0,3,0,4,0,0,4,10,0,5,4,0,0,5,6,0,0,18,0,0,0,0,0,952
"Taxi, truck",7,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"Taxi, motorbike/scooter",3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Taxi, bicycle",11,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,4,0,0,0,0,5,0,4,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,62
"Taxi, other",409,15,11,4,11,9,0,5,11,3,3,0,0,0,389,5,3,0,0,4,0,0,0,9,0,0,4,190,18,5,0,10,0,0,9,0,3,29,18,0,0,0,123,0,0,0,0,0,7,0,0,207,12,0,0,0,3,5,8,3,9,0,12,0,4,4,0,0,6,3,0,0,93,0,0,0,0,0,1676
"Car as driver, car as passenger",3003,786,484,223,273,197,97,232,222,136,93,17,0,6,2636,294,96,146,44,64,192,189,109,87,157,0,4,1713,495,307,72,278,234,22,258,12,174,186,311,28,0,8,988,162,34,56,71,25,103,0,0,1322,331,75,22,42,100,60,61,43,0,4,253,64,186,127,0,0,126,106,0,5,421,0,0,0,0,0,18672
"Car as driver, truck",606,114,96,33,63,60,37,46,54,48,35,3,0,3,630,39,31,44,15,21,50,69,25,21,51,0,0,326,85,64,26,72,63,5,49,3,30,30,36,10,0,8,157,44,11,14,17,9,16,0,0,262,31,17,12,33,8,10,12,10,0,0,25,12,32,18,0,0,13,8,0,0,26,0,0,0,0,0,3798
