Method of Travel to Work,Sydney,Balance of NSW,New South Wales,Melbourne,Balance of Victoria,Victoria,Brisbane,Balance of QLD,Queensland,Adelaide,Balance of SA,South Australia,Perth,Balance of WA,Western Australia,Greater Hobart,Balance of Tasmania,Tasmania,Darwin,Balance of NT,Northern Territory,Canberra,Balance of ACT,Australian Capital Territory,Other Territories(c),Total Australia
"Bus, car as driver, motorbike/scooter",3,0,3,0,3,3,0,4,4,3,0,3,4,0,4,0,0,0,0,3,3,0,0,0,0,20
"Bus, car as driver, bicycle",19,5,24,4,0,4,10,8,18,14,0,14,7,0,7,3,0,3,4,3,7,4,0,4,0,81
"Bus, car as driver, other",16,10,26,13,4,17,10,13,23,3,0,3,19,11,30,0,0,0,0,0,0,3,0,3,0,102
"Bus, car as passenger, truck",7,3,10,0,0,0,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"Bus, car as passenger, motorbike/scooter",0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,12
"Bus, car as passenger, bicycle",23,9,32,13,3,16,13,21,34,8,3,11,6,0,6,3,0,3,0,3,3,6,0,6,0,111
"Bus, car as passenger, other",22,10,32,9,3,12,14,34,48,4,0,4,22,7,29,6,3,9,3,4,7,3,0,3,0,144
"Bus, truck, motorbike/scooter",3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Bus, truck, bicycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bus, truck, other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
"Bus, motorbike/scooter, bicycle",0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,6
"Bus, motorbike/scooter, other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bus, bicycle, other",3,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,7
"Ferry, tram, taxi",0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,3,3,0,0,0,0,0,0,0,9
"Ferry, tram, car as driver",3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6
"Ferry, tram, car as passenger",0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Ferry, tram, truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ferry, tram, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ferry, tram, bicycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ferry, tram, other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ferry, taxi, car as driver",17,0,17,0,3,3,9,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
"Ferry, taxi, car as passenger",12,3,15,0,0,0,3,12,15,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,33
"Ferry, taxi, truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ferry, taxi, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ferry, taxi, bicycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ferry, taxi, other",3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,9
"Ferry, car as driver, car as passenger",11,3,14,11,4,15,38,36,74,0,3,3,3,0,3,0,3,3,3,13,16,0,0,0,0,128
"Ferry, car as driver, truck",3,0,3,4,0,4,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Ferry, car as driver, motorbike/scooter",3,0,3,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Ferry, car as driver, bicycle",6,0,6,0,0,0,8,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"Ferry, car as driver, other",9,0,9,3,3,6,10,9,19,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,37
"Ferry, car as passenger, truck",3,3,6,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Ferry, car as passenger, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ferry, car as passenger, bicycle",3,3,6,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"Ferry, car as passenger, other",0,0,0,0,0,0,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Ferry, truck, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3
"Ferry, truck, bicycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ferry, truck, other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ferry, motorbike/scooter, bicycle",0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
"Ferry, motorbike/scooter, other",0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Ferry, bicycle, other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tram, taxi, car as driver",0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Tram, taxi, car as passenger",4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,10
"Tram, taxi, truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tram, taxi, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tram, taxi, bicycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tram, taxi, other",3,0,3,3,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,0,12
"Tram, car as driver, car as passenger",0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,7
"Tram, car as driver, truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tram, car as driver, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3
"Tram, car as driver, bicycle",3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Tram, car as driver, other",3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Tram, car as passenger, truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tram, car as passenger, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tram, car as passenger, bicycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tram, car as passenger, other",3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Tram, truck, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tram, truck, bicycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tram, truck, other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
